,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
478,https://loft.com.br/imovel/apartamento-avenida-reboucas-jardim-america-sao-paulo-1-quarto-39m2/1sg5vot,Studio,800000,"Av. Rebouças, Jardim América",39,1,1,-23.5579439,-46.6671015
479,https://loft.com.br/imovel/apartamento-rua-cristovao-diniz-jardim-america-sao-paulo-4-quartos-420m2/1t7fgma,Apartamento,12000000,"R. Cristóvão Diniz, Jardim América",420,4,4,-23.56718,-46.66671
480,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-3-quartos-91m2/1u6fnh9,Apartamento,1250000,"R. Bela Cintra, Jardim América",91,3,2,-23.557916,-46.6633
481,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-1-quarto-38m2/1x4pta0,Apartamento,660000,"Alameda Franca, Jardim América",38,1,1,-23.5585706,-46.66768
482,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-3-quartos-112m2/1yirx2w,Apartamento,1690000,"R. Bela Cintra, Jardim América",112,3,1,-23.5605629,-46.66659
483,https://loft.com.br/imovel/apartamento-alameda-casa-branca-jardim-america-sao-paulo-3-quartos-341m2/1yocqfo,Apartamento,5900000,"Alameda Casa Branca, Jardim América",341,3,3,-23.5649467,-46.6590009
484,https://loft.com.br/imovel/apartamento-alameda-tiete-jardim-america-sao-paulo-studio-81m2/56zgv,Apartamento,1100000,"Alameda Tietê, Jardim América",81,0,0,-23.5593327,-46.6689026
485,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-4-quartos-226m2/9181ec,Apartamento,6795600,"R. Peixoto Gomide, Jardim América",226,4,4,-23.56459999,-46.66077003
486,https://loft.com.br/imovel/apartamento-avenida-paulista-jardim-america-sao-paulo-2-quartos-106m2/a96gcl,Apartamento,2030000,"Av. Paulista, Jardim América",106,2,0,-23.5607886,-46.657586
487,https://loft.com.br/imovel/apartamento-alameda-casa-branca-jardim-america-sao-paulo-4-quartos-155m2/bsn4my,Apartamento,1850000,"Alameda Casa Branca, Jardim América",155,4,1,-23.5674683,-46.6616984
488,https://loft.com.br/imovel/apartamento-rua-haddock-lobo-jardim-america-sao-paulo-3-quartos-113m2/h1ie5j,Apartamento,1500000,"R. Haddock Lobo, Jardim América",113,3,1,-23.5603373,-46.6641051
489,https://loft.com.br/imovel/apartamento-avenida-reboucas-jardim-america-sao-paulo-1-quarto-24m2/hoc1o9,Studio,425000,"Av. Rebouças, Jardim América",24,1,1,-23.5579439,-46.6671015
490,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-28m2/pkmmfz,Conjugado,400000,"Alameda Jaú, Jardim América",28,1,1,-23.559149,-46.6621006
491,https://loft.com.br/imovel/apartamento-rua-augusta-jardim-america-sao-paulo-1-quarto-45m2/tv5wk2,Apartamento,400000,"R. Augusta, Jardim América",45,1,0,-23.5661719,-46.6682874
492,https://loft.com.br/imovel/apartamento-rua-augusta-jardim-america-sao-paulo-1-quarto-26m2/tvzjkm,Apartamento,554000,"R. Augusta, Jardim América",26,1,1,-23.5605512,-46.6626657
493,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-28m2/utsbu2,Conjugado,480000,"R. da Consolação, Jardim América",28,1,1,-23.5600355,-46.6671196
494,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-207m2/vasex0,Apartamento,3600000,"R. Peixoto Gomide, Jardim América",207,3,2,-23.5676113,-46.6643764
